Name,Type,Total Students,Budget,Budget/Student,Math Avg,Reading Avg,% Passing Math,% Passing Reading,Overall % Passing
Pena High School,Charter,962,$585858.00,$609.00,83.84,84.04,95,96,91
Wright High School,Charter,1800,$1049400.00,$583.00,83.68,83.95,93,97,90
Rodriguez High School,District,3999,$2547363.00,$637.00,76.84,80.74,66,80,53
Johnson High School,District,4761,$3094650.00,$650.00,77.07,80.97,66,81,54
Ford High School,District,2739,$1763916.00,$644.00,77.10,80.75,68,79,54
Thomas High School,Charter,1635,$1043130.00,$638.00,83.42,83.85,93,97,91
Name,Type,Total Students,Budget,Budget/Student,Math Avg,Reading Avg,% Passing Math,% Passing Reading,Overall % Passing
Huang High School,District,2917,$1910635.00,$655.00,76.63,81.18,66,81,54
Figueroa High School,District,2949,$1884411.00,$639.00,76.71,81.16,66,81,53
Shelton High School,Charter,1761,$1056600.00,$600.00,83.36,83.73,94,96,90
Hernandez High School,District,4635,$3022020.00,$652.00,77.29,80.93,67,81,54
Griffin High School,Charter,1468,$917500.00,$625.00,83.35,83.82,93,97,91
Wilson High School,Charter,2283,$1319574.00,$578.00,83.27,83.99,94,97,91
Cabrera High School,Charter,1858,$1081356.00,$582.00,83.06,83.98,94,97,91
Bailey High School,District,4976,$3124928.00,$628.00,77.05,81.03,67,82,55
Holden High School,Charter,427,$248087.00,$581.00,83.80,83.81,93,96,89
Pena High School,Charter,962,$585858.00,$609.00,83.84,84.04,95,96,91
Wright High School,Charter,1800,$1049400.00,$583.00,83.68,83.95,93,97,90
Rodriguez High School,District,3999,$2547363.00,$637.00,76.84,80.74,66,80,53
Johnson High School,District,4761,$3094650.00,$650.00,77.07,80.97,66,81,54
Ford High School,District,2739,$1763916.00,$644.00,77.10,80.75,68,79,54
Thomas High School,Charter,1635,$1043130.00,$638.00,83.42,83.85,93,97,91
Name,Type,Total Students,Budget,Budget/Student,Math Avg,Reading Avg,% Passing Math,% Passing Reading,Overall % Passing
Huang High School,District,2917,$1910635.00,$655.00,76.63,81.18,66,81,54
Figueroa High School,District,2949,$1884411.00,$639.00,76.71,81.16,66,81,53
Shelton High School,Charter,1761,$1056600.00,$600.00,83.36,83.73,94,96,90
Hernandez High School,District,4635,$3022020.00,$652.00,77.29,80.93,67,81,54
Griffin High School,Charter,1468,$917500.00,$625.00,83.35,83.82,93,97,91
Wilson High School,Charter,2283,$1319574.00,$578.00,83.27,83.99,94,97,91
Cabrera High School,Charter,1858,$1081356.00,$582.00,83.06,83.98,94,97,91
Bailey High School,District,4976,$3124928.00,$628.00,77.05,81.03,67,82,55
Holden High School,Charter,427,$248087.00,$581.00,83.80,83.81,93,96,89
Pena High School,Charter,962,$585858.00,$609.00,83.84,84.04,95,96,91
Wright High School,Charter,1800,$1049400.00,$583.00,83.68,83.95,93,97,90
Rodriguez High School,District,3999,$2547363.00,$637.00,76.84,80.74,66,80,53
Johnson High School,District,4761,$3094650.00,$650.00,77.07,80.97,66,81,54
Ford High School,District,2739,$1763916.00,$644.00,77.10,80.75,68,79,54
Thomas High School,Charter,1635,$1043130.00,$638.00,83.42,83.85,93,97,91
Name,Type,Total Students,Budget,Budget/Student,Math Avg,Reading Avg,% Passing Math,% Passing Reading,Overall % Passing
Huang High School,District,2917,$1910635.00,$655.00,76.63,81.18,66,81,54
Figueroa High School,District,2949,$1884411.00,$639.00,76.71,81.16,66,81,53
Shelton High School,Charter,1761,$1056600.00,$600.00,83.36,83.73,94,96,90
Hernandez High School,District,4635,$3022020.00,$652.00,77.29,80.93,67,81,54
Griffin High School,Charter,1468,$917500.00,$625.00,83.35,83.82,93,97,91
Wilson High School,Charter,2283,$1319574.00,$578.00,83.27,83.99,94,97,91
Cabrera High School,Charter,1858,$1081356.00,$582.00,83.06,83.98,94,97,91
Bailey High School,District,4976,$3124928.00,$628.00,77.05,81.03,67,82,55
Holden High School,Charter,427,$248087.00,$581.00,83.80,83.81,93,96,89
Pena High School,Charter,962,$585858.00,$609.00,83.84,84.04,95,96,91
Wright High School,Charter,1800,$1049400.00,$583.00,83.68,83.95,93,97,90
Rodriguez High School,District,3999,$2547363.00,$637.00,76.84,80.74,66,80,53
Johnson High School,District,4761,$3094650.00,$650.00,77.07,80.97,66,81,54
Ford High School,District,2739,$1763916.00,$644.00,77.10,80.75,68,79,54
Thomas High School,Charter,1635,$1043130.00,$638.00,83.42,83.85,93,97,91
